name	kind	expansion	primary
\mapsfrom	construct	\html@mathml{\mathrel{\mathreflectbox{\mapsto}}}{\mathrel{\char`↤}}	
\maroonA	construct	\textcolor{##ffbde0}{#1}	
\maroonB	construct	\textcolor{##ff92c6}{#1}	
\maroonC	construct	\textcolor{##ed5fa6}{#1}	
\maroonD	construct	\textcolor{##ca337c}{#1}	
\maroonE	construct	\textcolor{##9e034e}{#1}	
\mathstrut	construct	\vphantom{(}	
\medspace	construct	\:	
\message	contextual		
\mintA	construct	\textcolor{##f5f9e8}{#1}	
\mintB	construct	\textcolor{##edf2df}{#1}	
\mintC	construct	\textcolor{##e0e5cc}{#1}	
\minuscolon	alias	\eqcolon	\eqcolon
\minuscoloncolon	alias	\Eqcolon	\Eqcolon
\minuso	construct	\mathbin{\html@mathml{{\mathrlap{\mathchoice{\kern{0.145em}}{\kern{0.145em}}{\kern{0.1015em}}{\kern{0.0725em}}\circ}{-}}}{\char`⦵}}	
\mod	construct	\allowbreak\mathchoice{\mkern18mu}{\mkern12mu}{\mkern12mu}{\mkern12mu}{\rm mod}\,\,#1	
\natnums	construct	\mathbb{N}	
\ne	alias	\neq	\neq
\negmedspace	construct	\tmspace-{4mu}{.2222em}	
\negthickspace	construct	\tmspace-{5mu}{.277em}	
\negthinspace	construct	\!	
\neq	construct	\html@mathml{\mathrel{\not=}}{\mathrel{\char`≠}}	
\newcommand	contextual		
\newline	construct	\\\relax	
\ngeqq	construct	\html@mathml{\@ngeqq}{≱}	
\ngeqslant	construct	\html@mathml{\@ngeqslant}{≱}	
\nleqq	construct	\html@mathml{\@nleqq}{≰}	
\nleqslant	construct	\html@mathml{\@nleqslant}{≰}	
\noexpand	contextual		
\not	construct	\html@mathml{\mathrel{\mathrlap\@not}\nobreak}{\char"338}	
\notin	construct	\html@mathml{\mathrel{{\in}\mathllap{/\mskip1mu}}}{\mathrel{\char`∉}}	
\notni	construct	\html@mathml{\not\ni}{\mathrel{\char`∌}}	
\nshortmid	construct	\html@mathml{\@nshortmid}{∤}	
\nshortparallel	construct	\html@mathml{\@nshortparallel}{∦}	
\nsubseteqq	construct	\html@mathml{\@nsubseteqq}{⊈}	
\nsupseteqq	construct	\html@mathml{\@nsupseteqq}{⊉}	
\orange	construct	\textcolor{##ffa500}{#1}	
\ordinarycolon	construct	:	
\pink	construct	\textcolor{##ff00af}{#1}	
\plim	operator	\DOTSB\mathop{\operatorname{plim}}\limits	
\plusmn	alias	\pm	\pm
\pmod	construct	\pod{{\rm mod}\mkern6mu#1}	
\pod	construct	\allowbreak\mathchoice{\mkern18mu}{\mkern8mu}{\mkern8mu}{\mkern8mu}(#1)	
\projlim	operator	\DOTSB\operatorname*{proj\,lim}	
\providecommand	contextual		
\purple	construct	\textcolor{##9d38bd}{#1}	
\purpleA	construct	\textcolor{##ddd7ff}{#1}	
\purpleB	construct	\textcolor{##c6b9fc}{#1}	
\purpleC	construct	\textcolor{##aa87ff}{#1}	
\purpleD	construct	\textcolor{##7854ab}{#1}	
\purpleE	construct	\textcolor{##543b78}{#1}	
