command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\nDashV	symbol	math	U+2AE5 U+0338	nDashV		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:146	
\nDashv	symbol	math	U+2AE4 U+0338	nDashv		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:118	
\nLeftarrow	symbol	math	U+21CD	nLeftarrow		ARROW		\nLeftarrow	lib/LaTeXML/Package/mathabx.sty.ltxml:444	
\nLeftrightarrow	symbol	math	U+21CE	nLeftrightarrow		ARROW		\nLeftrightarrow	lib/LaTeXML/Package/mathabx.sty.ltxml:446	
\nRightarrow	symbol	math	U+21CF	nRightarrow		ARROW		\nRightarrow	lib/LaTeXML/Package/mathabx.sty.ltxml:445	
\nSubset	symbol	math	U+22D0 U+0338	nSubset	not-double-subset-of	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:278	
\nSupset	symbol	math	U+22D1 U+0338	nSupset	not-double-superset-of	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:279	
\nVDash	symbol	math	U+22AF	nVDash		RELOP		\nVDash	lib/LaTeXML/Package/mathabx.sty.ltxml:145	
\nVdash	symbol	math	U+22AE	nVdash	not-forces	RELOP		\nVdash	lib/LaTeXML/Package/mathabx.sty.ltxml:121	
\nVvash	symbol	math	U+22AA U+0338	nVvash		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:152	
\napprox	symbol	math	U+2249	napprox	not-approximately-equals	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:80	
\ncong	symbol	math	U+2247	ncong	not-approximately-equals	RELOP		\ncong	lib/LaTeXML/Package/mathabx.sty.ltxml:83	
\ncurlyeqprec	symbol	math	U+22DE U+0338	ncurlyeqprec	not-equals-nor-preceeds	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:401	
\ncurlyeqsucc	symbol	math	U+22DF U+0338	ncurlyeqsucc	not-equals-nor-succeeds	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:402	
\ndashV	symbol	math	U+2AE3 U+0338	ndashV		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:122	
\ndashv	symbol	math	U+22A3 U+0338	ndashv		RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:114	
\neqslantgtr	symbol	math	U+2A96 U+0338	neqslantgtr	not-greater-than-nor-equals	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:358	
\neqslantless	symbol	math	U+2A95 U+0338	neqslantless	not-less-than-nor-equals	RELOP			lib/LaTeXML/Package/mathabx.sty.ltxml:357	
