command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\clubsuit	symbol	math	U+2663	clubsuit				\clubsuit	lib/LaTeXML/Engine/math_common.pool.ltxml:104	
\colon	symbol	math	U+003A	colon		METARELOP		\colon	lib/LaTeXML/Engine/math_common.pool.ltxml:482	
\cong	symbol	math	U+2245	cong	approximately-equals	RELOP		\cong	lib/LaTeXML/Engine/math_common.pool.ltxml:283	
\coprod	symbol	math	U+2210	coprod	coproduct	SUMOP		\coprod	lib/LaTeXML/Engine/math_common.pool.ltxml:144	
\copyright	text	text	U+00A9	copyright				\copyright	lib/LaTeXML/Engine/plain_constructs.pool.ltxml:186	
\cos	symbol	math	U+0063 U+006F U+0073	cos	cosine	TRIGFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:730	
\cosh	symbol	math	U+0063 U+006F U+0073 U+0068	cosh	hyperbolic-cosine	TRIGFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:731	
\cot	symbol	math	U+0063 U+006F U+0074	cot	cotangent	TRIGFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:732	
\coth	symbol	math	U+0063 U+006F U+0074 U+0068	coth	hyperbolic-cotangent	TRIGFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:733	
\csc	symbol	math	U+0063 U+0073 U+0063	csc	cosecant	TRIGFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:735	
\cup	symbol	math	U+222A	cup	union	ADDOP		\cup	lib/LaTeXML/Engine/math_common.pool.ltxml:218	
\dag	text	text	U+2020	dag				\dag	lib/LaTeXML/Engine/plain_constructs.pool.ltxml:184	
\dagger	symbol	math	U+2020	dagger		MULOP		\dagger	lib/LaTeXML/Engine/math_common.pool.ltxml:246	
\dashv	symbol	math	U+22A3	dashv	does-not-prove	METARELOP		\dashv	lib/LaTeXML/Engine/math_common.pool.ltxml:273	
\ddag	text	text	U+2021	ddag				\ddag	lib/LaTeXML/Engine/plain_constructs.pool.ltxml:185	
\ddagger	symbol	math	U+2021	ddagger		MULOP		\ddagger	lib/LaTeXML/Engine/math_common.pool.ltxml:247	
\ddots	symbol	math	U+22F1	ddots		ID		\ddots	lib/LaTeXML/Engine/math_common.pool.ltxml:481	
\deg	symbol	math	U+0064 U+0065 U+0067	deg	degree	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:736	
\delta	symbol	math	U+03B4	delta				\delta	lib/LaTeXML/Engine/math_common.pool.ltxml:24	
\det	symbol	math	U+0064 U+0065 U+0074	det	determinant	LIMITOP			lib/LaTeXML/Engine/math_common.pool.ltxml:737	
\dh	text	text	U+00F0	dh					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2768	
\diamond	symbol	math	U+22C4	diamond		ADDOP		\diamond	lib/LaTeXML/Engine/math_common.pool.ltxml:230	
\diamondsuit	symbol	math	U+2662	diamondsuit				\diamondsuit	lib/LaTeXML/Engine/math_common.pool.ltxml:105	
\dim	symbol	math	U+0064 U+0069 U+006D	dim	dimension	LIMITOP			lib/LaTeXML/Engine/math_common.pool.ltxml:739	
\div	symbol	math	U+00F7	div	divide	MULOP		\div	lib/LaTeXML/Engine/math_common.pool.ltxml:208	
\dj	text	text	U+0111	dj					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2770	
\doteq	symbol	math	U+2250	doteq	approaches-limit	RELOP		\doteq	lib/LaTeXML/Engine/math_common.pool.ltxml:285	
\downarrow	symbol	math	U+2193	downarrow		ARROW		\downarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:438	
\downbracefill	symbol	math	U+23DE	downbracefill		ARROW			lib/LaTeXML/Engine/plain_constructs.pool.ltxml:91	
\ell	symbol	math	U+2113	ell				\ell	lib/LaTeXML/Engine/math_common.pool.ltxml:72	
\emptyset	symbol	math	U+2205	emptyset	empty-set	ID		\emptyset	lib/LaTeXML/Engine/math_common.pool.ltxml:79	
\epsilon	symbol	math	U+03F5	epsilon				\epsilon	lib/LaTeXML/Engine/math_common.pool.ltxml:25	
\equiv	symbol	math	U+2261	equiv	equivalent-to	RELOP		\equiv	lib/LaTeXML/Engine/math_common.pool.ltxml:278	
\eta	symbol	math	U+03B7	eta				\eta	lib/LaTeXML/Engine/math_common.pool.ltxml:28	
\exists	symbol	math	U+2203	exists	exists	BIGOP		\exists	lib/LaTeXML/Engine/math_common.pool.ltxml:91	
\exp	symbol	math	U+0065 U+0078 U+0070	exp	exponential	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:741	
\flat	symbol	math	U+266D	flat				\flat	lib/LaTeXML/Engine/math_common.pool.ltxml:94	
\forall	symbol	math	U+2200	forall	for-all	BIGOP		\forall	lib/LaTeXML/Engine/math_common.pool.ltxml:90	
\frown	symbol	math	U+2322	frown		RELOP		\frown	lib/LaTeXML/Engine/math_common.pool.ltxml:295	
\gamma	symbol	math	U+03B3	gamma				\gamma	lib/LaTeXML/Engine/math_common.pool.ltxml:23	
\gcd	symbol	math	U+0067 U+0063 U+0064	gcd	gcd	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:742	
\geq	symbol	math	U+2265	geq	greater-than-or-equals	RELOP		\geq	lib/LaTeXML/Engine/math_common.pool.ltxml:264	
\gg	symbol	math	U+226B	gg	much-greater-than	RELOP		\gg	lib/LaTeXML/Engine/math_common.pool.ltxml:267	
\hbar	symbol	math	U+210F	hbar	Planck-constant-over-2-pi	ID		\hbar	lib/LaTeXML/Engine/math_common.pool.ltxml:69	
\heartsuit	symbol	math	U+2661	heartsuit				\heartsuit	lib/LaTeXML/Engine/math_common.pool.ltxml:106	
\hom	symbol	math	U+0068 U+006F U+006D	hom		OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:744	
\hookleftarrow	symbol	math	U+21A9	hookleftarrow		ARROW		\hookleftarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:420	
\hookrightarrow	symbol	math	U+21AA	hookrightarrow		ARROW		\hookrightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:431	
\i	text	text	U+0131	i				\i	lib/LaTeXML/Engine/plain_base.pool.ltxml:108	
\iff	symbol	math	U+21D4	iff	iff	METARELOP		\iff	lib/LaTeXML/Engine/math_common.pool.ltxml:418	
\imath	symbol	math	U+0131	imath				\imath	lib/LaTeXML/Engine/math_common.pool.ltxml:70	
\in	symbol	math	U+2208	in	element-of	RELOP		\in	lib/LaTeXML/Engine/math_common.pool.ltxml:261	
\inf	symbol	math	U+0069 U+006E U+0066	inf	infimum	LIMITOP			lib/LaTeXML/Engine/math_common.pool.ltxml:745	
\infty	symbol	math	U+221E	infty	infinity	ID		\infty	lib/LaTeXML/Engine/math_common.pool.ltxml:100	
\int	symbol	math	U+222B	int	integral	INTOP		\int	lib/LaTeXML/Engine/math_common.pool.ltxml:149	
\intop	symbol	math	U+222B	intop	integral	INTOP		\intop	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5438	
\iota	symbol	math	U+03B9	iota				\iota	lib/LaTeXML/Engine/math_common.pool.ltxml:31	
\j	text	text	U+0237	j				\j	lib/LaTeXML/Engine/plain_base.pool.ltxml:109	
\jmath	symbol	math	U+0237	jmath				\jmath	lib/LaTeXML/Engine/math_common.pool.ltxml:71	
\kappa	symbol	math	U+03BA	kappa				\kappa	lib/LaTeXML/Engine/math_common.pool.ltxml:32	
\ker	symbol	math	U+006B U+0065 U+0072	ker	kernel	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:748	
\l	text	text	U+0142	l					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2766	
\l	text	text	U+0142	l					lib/LaTeXML/Engine/plain_constructs.pool.ltxml:21	
\lambda	symbol	math	U+03BB	lambda				\lambda	lib/LaTeXML/Engine/math_common.pool.ltxml:33	
\land	symbol	math	U+2227	land	and	ADDOP		\land	lib/LaTeXML/Engine/math_common.pool.ltxml:225	
\langle	symbol	math	U+27E8	langle		OPEN		\langle	lib/LaTeXML/Engine/math_common.pool.ltxml:573	
\lceil	symbol	math	U+2308	lceil		OPEN		\lceil	lib/LaTeXML/Engine/math_common.pool.ltxml:568	
\ldotp	symbol	math	U+002E	ldotp		MULOP		\ldotp	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5437	
\leadsto	symbol	math	U+219D	leadsto	leads-to	ARROW		\leadsto	lib/LaTeXML/Engine/math_common.pool.ltxml:434	
\leftarrow	symbol	math	U+2190	leftarrow		ARROW		\leftarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:412	
\leftarrowfill	symbol	math	U+2190	leftarrowfill		ARROW			lib/LaTeXML/Engine/plain_constructs.pool.ltxml:88	
\leftharpoondown	symbol	math	U+21BD	leftharpoondown		ARROW		\leftharpoondown	lib/LaTeXML/Engine/math_common.pool.ltxml:422	
\leftharpoonup	symbol	math	U+21BC	leftharpoonup		ARROW		\leftharpoonup	lib/LaTeXML/Engine/math_common.pool.ltxml:421	
\leftrightarrow	symbol	math	U+2194	leftrightarrow		METARELOP		\leftrightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:416	
\leq	symbol	math	U+2264	leq	less-than-or-equals	RELOP		\leq	lib/LaTeXML/Engine/math_common.pool.ltxml:253	
\lfloor	symbol	math	U+230A	lfloor		OPEN		\lfloor	lib/LaTeXML/Engine/math_common.pool.ltxml:570	
\lg	symbol	math	U+006C U+0067	lg		OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:749	
\lgroup	symbol	math	U+27EE	lgroup		OPEN		\lgroup	lib/LaTeXML/Engine/math_common.pool.ltxml:577	
\lhd	symbol	math	U+22B2	lhd	subgroup-of	ADDOP		\lhd	lib/LaTeXML/Engine/math_common.pool.ltxml:235	
\lhook	symbol	math	U+2E26	lhook					lib/LaTeXML/Engine/math_common.pool.ltxml:451	
\lim	symbol	math	U+006C U+0069 U+006D	lim	limit	LIMITOP			lib/LaTeXML/Engine/math_common.pool.ltxml:750	
\liminf	symbol	math	U+006C U+0069 U+006D U+0020 U+0069 U+006E U+0066	liminf	limit-infimum	LIMITOP		\liminf	lib/LaTeXML/Engine/math_common.pool.ltxml:752	
\limsup	symbol	math	U+006C U+0069 U+006D U+0020 U+0073 U+0075 U+0070	limsup	limit-supremum	LIMITOP		\limsup	lib/LaTeXML/Engine/math_common.pool.ltxml:755	
\ll	symbol	math	U+226A	ll	much-less-than	RELOP		\ll	lib/LaTeXML/Engine/math_common.pool.ltxml:256	
\lmoustache	text	text	U+23B0	lmoustache				\lmoustache	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5447	
\ln	symbol	math	U+006C U+006E	ln	natural-logarithm	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:757	
\lnot	symbol	math	U+00AC	lnot	not	BIGOP		\lnot	lib/LaTeXML/Engine/math_common.pool.ltxml:93	
\log	symbol	math	U+006C U+006F U+0067	log	logarithm	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:758	
\longleftarrow	symbol	math	U+27F5	longleftarrow		ARROW		\longleftarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:424	
\longleftrightarrow	symbol	math	U+27F7	longleftrightarrow		METARELOP		\longleftrightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:428	
\longmapsto	symbol	math	U+27FC	longmapsto		ARROW		\longmapsto	lib/LaTeXML/Engine/math_common.pool.ltxml:430	
\longrightarrow	symbol	math	U+27F6	longrightarrow		ARROW		\longrightarrow	lib/LaTeXML/Engine/math_common.pool.ltxml:426	
\lor	symbol	math	U+2228	lor	or	ADDOP		\lor	lib/LaTeXML/Engine/math_common.pool.ltxml:223	
\mapsto	symbol	math	U+21A6	mapsto	maps-to	ARROW		\mapsto	lib/LaTeXML/Engine/math_common.pool.ltxml:419	
\mapstochar	symbol	math	U+2E20	mapstochar					lib/LaTeXML/Engine/math_common.pool.ltxml:450	
\mapstochar	symbol	math	U+21A6	mapstochar	maps-to	ARROW		\mapsto	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5449	
\mathbf{}	alphabet	math		mathbf			bold		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2482	DefConstructor with font
\mathcal{}	alphabet	math		mathcal			caligraphic		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2488	DefConstructor with font
\mathdollar	text	text	U+0024	mathdollar					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5421	
\mathellipsis	text	text	U+2026	mathellipsis				\mathellipsis	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5424	
\mathit{}	alphabet	math		mathit			serif		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2480	DefConstructor with font
\mathnormal{}	alphabet	math		mathnormal			math		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2492	DefConstructor with font
\mathparagraph	text	text	U+00B6	mathparagraph					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5419	
\mathrm{}	alphabet	math		mathrm			serif		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2478	DefConstructor with font
\mathscr{}	alphabet	math		mathscr			script		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2490	DefConstructor with font
\mathsection	text	text	U+00A7	mathsection					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5420	
\mathsf{}	alphabet	math		mathsf			sans-serif		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2484	DefConstructor with font
\mathsterling	text	text	U+00A3	mathsterling				\mathsterling	lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5422	
\mathtt{}	alphabet	math		mathtt			monospace		lib/LaTeXML/Engine/latex_constructs.pool.ltxml:2486	DefConstructor with font
\mathunderscore	text	text	U+005F	mathunderscore					lib/LaTeXML/Engine/latex_constructs.pool.ltxml:5423	
\max	symbol	math	U+006D U+0061 U+0078	max	maximum	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:759	
\mho	symbol	math	U+2127	mho				\mho	lib/LaTeXML/Engine/math_common.pool.ltxml:76	
\mid	symbol	math	U+2223	mid		VERTBAR		\mid	lib/LaTeXML/Engine/math_common.pool.ltxml:290	
\min	symbol	math	U+006D U+0069 U+006E	min	minimum	OPFUNCTION			lib/LaTeXML/Engine/math_common.pool.ltxml:762	
\models	symbol	math	U+22A7	models	models	RELOP		\models	lib/LaTeXML/Engine/math_common.pool.ltxml:288	
\mp	symbol	math	U+2213	mp	minus-or-plus	ADDOP		\mp	lib/LaTeXML/Engine/math_common.pool.ltxml:206	
\mu	symbol	math	U+03BC	mu				\mu	lib/LaTeXML/Engine/math_common.pool.ltxml:34	
\nabla	symbol	math	U+2207	nabla		OPERATOR		\nabla	lib/LaTeXML/Engine/math_common.pool.ltxml:80	
\natural	symbol	math	U+266E	natural				\natural	lib/LaTeXML/Engine/math_common.pool.ltxml:95	
\nearrow	symbol	math	U+2197	nearrow		ARROW		\nearrow	lib/LaTeXML/Engine/math_common.pool.ltxml:442	
\neg	symbol	math	U+00AC	neg	not	BIGOP		\neg	lib/LaTeXML/Engine/math_common.pool.ltxml:92	
