command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\circledast	symbol	math	U+229B	circledast		MULOP		\circledast	lib/LaTeXML/Package/amssymb.sty.ltxml:82	
\circledcirc	symbol	math	U+229A	circledcirc		MULOP		\circledcirc	lib/LaTeXML/Package/amssymb.sty.ltxml:83	
\circleddash	symbol	math	U+229D	circleddash		ADDOP		\circleddash	lib/LaTeXML/Package/amssymb.sty.ltxml:81	
\complement	symbol	math	U+2201	complement	complement			\complement	lib/LaTeXML/Package/amssymb.sty.ltxml:54	
\curlyeqprec	symbol	math	U+22DE	curlyeqprec	equals-or-preceeds	RELOP		\curlyeqprec	lib/LaTeXML/Package/amssymb.sty.ltxml:130	
\curlyeqsucc	symbol	math	U+22DF	curlyeqsucc	equals-or-succeeds	RELOP		\curlyeqsucc	lib/LaTeXML/Package/amssymb.sty.ltxml:180	
\curlyvee	symbol	math	U+22CE	curlyvee	or	ADDOP		\curlyvee	lib/LaTeXML/Package/amssymb.sty.ltxml:80	
\curlywedge	symbol	math	U+22CF	curlywedge	and	ADDOP		\curlywedge	lib/LaTeXML/Package/amssymb.sty.ltxml:79	
\curvearrowleft	symbol	math	U+21B6	curvearrowleft		ARROW		\curvearrowleft	lib/LaTeXML/Package/amssymb.sty.ltxml:330	
\curvearrowright	symbol	math	U+21B7	curvearrowright		ARROW		\curvearrowright	lib/LaTeXML/Package/amssymb.sty.ltxml:342	
\daleth	symbol	math	U+2138	daleth				\daleth	lib/LaTeXML/Package/amssymb.sty.ltxml:28	
\diagdown	symbol	math	U+2572	diagdown				\diagdown	lib/LaTeXML/Package/amssymb.sty.ltxml:57	
\diagup	symbol	math	U+2571	diagup				\diagup	lib/LaTeXML/Package/amssymb.sty.ltxml:56	
\digamma	symbol	math	U+03DD	digamma				\digamma	lib/LaTeXML/Package/amssymb.sty.ltxml:22	
\divideontimes	symbol	math	U+22C7	divideontimes		MULOP		\divideontimes	lib/LaTeXML/Package/amssymb.sty.ltxml:74	
\doteqdot	symbol	math	U+2251	doteqdot	geometrically-equals	RELOP		\doteqdot	lib/LaTeXML/Package/amssymb.sty.ltxml:112	
\dotplus	symbol	math	U+2214	dotplus		ADDOP		\dotplus	lib/LaTeXML/Package/amssymb.sty.ltxml:61	
\doublebarwedge	symbol	math	U+2A5E	doublebarwedge		ADDOP		\doublebarwedge	lib/LaTeXML/Package/amssymb.sty.ltxml:69	
\doublecap	symbol	math	U+22D2	doublecap	double-intersection	ADDOP		\doublecap	lib/LaTeXML/Package/amssymb.sty.ltxml:64	
\doublecup	symbol	math	U+22D3	doublecup	double-union	ADDOP		\doublecup	lib/LaTeXML/Package/amssymb.sty.ltxml:66	
\downdownarrows	symbol	math	U+21CA	downdownarrows		ARROW		\downdownarrows	lib/LaTeXML/Package/amssymb.sty.ltxml:345	
\downharpoonleft	symbol	math	U+21C3	downharpoonleft		ARROW		\downharpoonleft	lib/LaTeXML/Package/amssymb.sty.ltxml:349	
\downharpoonright	symbol	math	U+21C2	downharpoonright		ARROW		\downharpoonright	lib/LaTeXML/Package/amssymb.sty.ltxml:352	
\eqcirc	symbol	math	U+2256	eqcirc		RELOP		\eqcirc	lib/LaTeXML/Package/amssymb.sty.ltxml:167	
\eqsim	symbol	math	U+2242	eqsim		RELOP		\eqsim	lib/LaTeXML/Package/amssymb.sty.ltxml:155	
\eqslantgtr	symbol	math	U+2A96	eqslantgtr	greater-than-or-equals	RELOP		\eqslantgtr	lib/LaTeXML/Package/amssymb.sty.ltxml:149	
\eqslantless	symbol	math	U+2A95	eqslantless	less-than-or-equals	RELOP		\eqslantless	lib/LaTeXML/Package/amssymb.sty.ltxml:93	
\eth	symbol	math	U+00F0	eth				\eth	lib/LaTeXML/Package/amssymb.sty.ltxml:55	
\fallingdotseq	symbol	math	U+2252	fallingdotseq	approximately-equals-or-image-of	RELOP		\fallingdotseq	lib/LaTeXML/Package/amssymb.sty.ltxml:118	
\geqq	symbol	math	U+2267	geqq	greater-than-or-equals	RELOP		\geqq	lib/LaTeXML/Package/amssymb.sty.ltxml:145	
\geqslant	symbol	math	U+2A7E	geqslant	greater-than-or-equals	RELOP		\geqslant	lib/LaTeXML/Package/amssymb.sty.ltxml:147	
\ggg	symbol	math	U+22D9	ggg	very-much-greater-than	RELOP		\ggg	lib/LaTeXML/Package/amssymb.sty.ltxml:157	
\gggtr	symbol	math	U+22D9	gggtr	very-much-greater-than	RELOP		\gggtr	lib/LaTeXML/Package/amssymb.sty.ltxml:159	
\gimel	symbol	math	U+2137	gimel				\gimel	lib/LaTeXML/Package/amssymb.sty.ltxml:29	
\gnapprox	symbol	math	U+2A8A	gnapprox	greater-than-and-not-approximately-equals	RELOP		\gnapprox	lib/LaTeXML/Package/amssymb.sty.ltxml:292	
\gneq	symbol	math	U+2A88	gneq	greater-than-and-not-equals	RELOP		\gneq	lib/LaTeXML/Package/amssymb.sty.ltxml:284	
